indicator,alert_percentile,alarm_percentile,alert_tukey,alarm_tukey,retention_filter,season_scope,baseline_method,country,q1_median,q3_median,median_iqr,alert_zscore,alarm_zscore
Rice (low quality),55.0,72.48,79.58,87.245,none,All Months,Nominal,Afghanistan,48.5,64.25,15.329999999999998,73.13407910165796,88.59598112889333
Rice (low quality),55.0,72.48,79.58,87.245,>=40%,All Months,Nominal,Afghanistan,48.5,64.25,15.329999999999998,73.13407910165796,88.59598112889333
Sugar,11.653673383711173,18.96174200405785,24.519414964837395,28.48514096577461,none,All Months,YOY,Afghanistan,7.189204204249845,16.587962962962962,7.931452001874434,21.298020366272453,39.16898385346685
Sugar,13.949098452209984,22.27992732483751,27.089501719330936,31.67205630125466,>=40%,All Months,YOY,Afghanistan,9.411733778706013,17.92439255548349,9.165109163847447,21.298020366272453,39.16898385346685
Sugar,9.978411735242531,16.02725818907571,19.73165404411473,22.855211849331155,none,All Months,LTM,Afghanistan,7.614105098304332,13.484538433681884,6.247115610432847,15.675044410625256,30.106515314454995
Sugar,11.320754716981135,17.296014363189887,20.28509007925311,23.604751247331585,>=40%,All Months,LTM,Afghanistan,8.207990654589612,13.64576774309616,6.63932233615695,15.675044410625256,30.106515314454995
Sugar,,,,,none,All Months,FIVE_YEAR,Afghanistan,,,,-5.404249758864338,-0.016743632162512512
Sugar,59.11,66.436,66.32,69.0,none,All Months,Nominal,Afghanistan,55.73,60.96,5.359999999999999,69.48131778392508,78.70911870912204
Sugar,59.11,66.436,66.32,69.0,>=40%,All Months,Nominal,Afghanistan,55.73,60.96,5.359999999999999,69.48131778392508,78.70911870912204
"Wage (non-qualified labour, non-agricultural)",17.1875,44.5,45.4305841770294,53.27087581480227,none,All Months,YOY,Afghanistan,11.781128506997556,29.750000901483684,15.680583275545722,19.450866133975307,37.162159676428544
"Wage (non-qualified labour, non-agricultural)",17.708333333333332,50.0,54.504703223697476,64.54114574463712,>=40%,All Months,YOY,Afghanistan,13.26044829145404,34.43181818181819,20.07288504187929,19.450866133975307,37.162159676428544
"Wage (non-qualified labour, non-agricultural)",9.810266185118294,20.632763736263733,25.641025641025635,30.12820512820512,none,All Months,LTM,Afghanistan,7.435897435897436,16.666666666666664,8.974358974358971,13.672131985239504,27.1574207879971
"Wage (non-qualified labour, non-agricultural)",9.090909090909092,36.06701359155084,31.716889115732624,38.134114640208146,>=40%,All Months,LTM,Afghanistan,7.6923076923076925,18.882438066781575,12.834451048951049,13.672131985239504,27.1574207879971
"Wage (non-qualified labour, non-agricultural)",11.11111111111111,24.27529680729132,26.706955919400464,31.800902691458372,none,All Months,FIVE_YEAR,Afghanistan,5.579591361441804,16.519062375284648,10.187893544115816,16.768809929310294,32.1256619978068
"Wage (non-qualified labour, non-agricultural)",11.11111111111111,24.170669571321277,26.37625116261655,31.428200893693408,>=40%,All Months,FIVE_YEAR,Afghanistan,5.526096653976996,16.272351700462835,10.103899462153716,16.768809929310294,32.1256619978068
"Wage (non-qualified labour, non-agricultural)",300.0,350.0,400.0,425.0,none,All Months,Nominal,Afghanistan,300.0,350.0,50.0,351.2017408786782,398.1547669836587
"Wage (non-qualified labour, non-agricultural)",300.0,350.0,400.0,425.0,>=40%,All Months,Nominal,Afghanistan,300.0,350.0,50.0,351.2017408786782,398.1547669836587
Wheat,13.908782510365622,27.995076923076937,31.386894132216618,36.53531750164247,none,All Months,YOY,Afghanistan,8.482894219425877,21.090047393364927,10.296846738851691,28.442791133085926,56.19064862601904
Wheat,16.843033509700177,33.33640699523052,38.46368187586276,44.966118246094304,>=40%,All Months,YOY,Afghanistan,9.237536656891496,25.458809135399676,13.004872740463085,28.442791133085926,56.19064862601904
Wheat,10.658625327243131,23.163978754009072,23.460432861647856,27.814772622775326,none,All Months,LTM,Afghanistan,7.346482601493745,14.751753339392916,8.70867952225494,32.26152943963301,57.964225677560314
Wheat,20.543515263908372,39.24591537494764,37.507907528355986,42.09258087739889,>=40%,All Months,LTM,Afghanistan,10.973767099355117,28.338560830270172,9.169346698085812,32.26152943963301,57.964225677560314
Wheat,,,,,none,All Months,FIVE_YEAR,Afghanistan,,,,-14.045148598836452,-6.7590578161307615
Wheat,29.48,33.956,35.16,37.24,none,All Months,Nominal,Afghanistan,27.0,31.0,4.16,39.76715099823605,47.73382580599591
Wheat,29.48,33.956,35.16,37.24,>=40%,All Months,Nominal,Afghanistan,27.0,31.0,4.16,39.76715099823605,47.73382580599591
Wheat flour (high quality),8.461222990826773,15.956901229024435,19.7352737145481,23.501275654243084,none,All Months,YOY,Afghanistan,3.955025205826579,12.203269835158125,7.532003879389974,25.584483409657405,51.13811067518025
Wheat flour (high quality),24.513505663665402,33.50219641409476,35.711300639658845,39.52409381663112,>=40%,All Months,YOY,Afghanistan,21.750000000000007,28.085714285714282,7.625586353944559,25.584483409657405,51.13811067518025
Wheat flour (high quality),11.154539987973521,26.17631843296113,23.585770649815768,27.1930314108716,none,All Months,LTM,Afghanistan,6.304963481889983,16.3712491277041,7.214521522111667,30.910919231930254,53.940099151191056
Wheat flour (high quality),26.50779641070905,34.80606060606061,38.606921094189744,42.37085654359901,>=40%,All Months,LTM,Afghanistan,20.058487305596177,31.07905019537122,7.527870898818527,30.910919231930254,53.940099151191056
Wheat flour (high quality),,,,,none,All Months,FIVE_YEAR,Afghanistan,,,,-15.509400760371774,-10.613770972038811
Wheat flour (high quality),34.0,37.856,37.75,38.91,none,All Months,Nominal,Afghanistan,33.0,35.43,2.3200000000000003,45.07972618691049,53.113635045609286
Wheat flour (high quality),34.0,37.856,37.75,38.91,>=40%,All Months,Nominal,Afghanistan,33.0,35.43,2.3200000000000003,45.07972618691049,53.113635045609286
Wheat flour (low quality),9.486208652395682,20.287674084506286,23.961376137532092,28.53066409763643,none,All Months,YOY,Afghanistan,5.9081695296879495,14.822800217323422,9.138575920208671,27.380105249622382,54.46043066453309
Wheat flour (low quality),15.672287725070834,25.31858317340015,30.584545159525465,35.47893975520332,>=40%,All Months,YOY,Afghanistan,10.867112747936222,20.79575596816975,9.788789191355715,27.380105249622382,54.46043066453309
Wheat flour (low quality),11.515764626538537,21.500476983277412,23.49589944623179,27.055867375760783,none,All Months,LTM,Afghanistan,5.767470247177299,16.3759635871738,7.119935859057989,31.908268796679508,56.48511139767899
