country,adm1_name,date,indicator,value,group,year,month,month_name,year_month,year_month_str
Afghanistan,Hilmand,2025-01-02,percent_area_flooded,0.006344001,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Faryab,2025-01-02,percent_area_flooded,0.376983646,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Faryab,2025-01-02,percent_area_flooded,0.779612618,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Hilmand,2025-01-02,percent_area_flooded,0.006730555,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Hilmand,2025-01-02,percent_area_flooded,0.037953282,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Badghis,2025-01-02,percent_area_flooded,0.083574501,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Badghis,2025-01-02,percent_area_flooded,0.701766607,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Badghis,2025-01-02,percent_area_flooded,0.124869045,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Badghis,2025-01-02,percent_area_flooded,0.105131642,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Badghis,2025-01-02,percent_area_flooded,0.020521101,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Badghis,2025-01-02,percent_area_flooded,0.146567612,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Hilmand,2025-01-02,percent_area_flooded,0.065192355,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Hilmand,2025-01-02,percent_area_flooded,0.319021114,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Hilmand,2025-01-02,percent_area_flooded,0.006715802,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Hilmand,2025-01-02,percent_area_flooded,0.405149866,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Hilmand,2025-01-02,percent_area_flooded,0.243818321,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Hilmand,2025-01-02,percent_area_flooded,0.729958087,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Hilmand,2025-01-02,percent_area_flooded,0.001151683,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Hilmand,2025-01-02,percent_area_flooded,0.006344001,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Hilmand,2025-01-02,percent_area_flooded,0.005432019,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Hilmand,2025-01-02,percent_area_flooded,0.001151683,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Hilmand,2025-01-02,percent_area_flooded,0.729958087,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Hilmand,2025-01-02,percent_area_flooded,0.243818321,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Hilmand,2025-01-02,percent_area_flooded,0.405149866,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Hirat,2025-01-02,percent_area_flooded,0.222006929,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Hirat,2025-01-02,percent_area_flooded,0.786960151,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Farah,2025-01-02,percent_area_flooded,0.324506118,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Farah,2025-01-02,percent_area_flooded,0.886188683,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Farah,2025-01-02,percent_area_flooded,0.736175634,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Farah,2025-01-02,percent_area_flooded,0.814384805,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Farah,2025-01-02,percent_area_flooded,0.248957562,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Farah,2025-01-02,percent_area_flooded,0.736511287,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Farah,2025-01-02,percent_area_flooded,0.324652296,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Farah,2025-01-02,percent_area_flooded,0.183125107,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Farah,2025-01-02,percent_area_flooded,0.0645695,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Farah,2025-01-02,percent_area_flooded,1.186262288,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Farah,2025-01-02,percent_area_flooded,0.660798745,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Nimroz,2025-01-02,percent_area_flooded,0.008282672,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Nimroz,2025-01-02,percent_area_flooded,0.114937466,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Hirat,2025-01-02,percent_area_flooded,0.674664809,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Kabul,2025-01-02,percent_area_flooded,1.55144296,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Hirat,2025-01-02,percent_area_flooded,0.05658797,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Hirat,2025-01-02,percent_area_flooded,0.287562068,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Hilmand,2025-01-02,percent_area_flooded,0.006715802,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Hilmand,2025-01-02,percent_area_flooded,0.319021114,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Hilmand,2025-01-02,percent_area_flooded,0.065192355,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Badghis,2025-01-02,percent_area_flooded,0.146567612,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Badghis,2025-01-02,percent_area_flooded,0.020521101,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Badghis,2025-01-02,percent_area_flooded,0.105131642,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Badghis,2025-01-02,percent_area_flooded,0.124869045,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Badghis,2025-01-02,percent_area_flooded,0.701766607,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Badghis,2025-01-02,percent_area_flooded,0.083574501,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Hirat,2025-01-02,percent_area_flooded,0.226439449,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Hirat,2025-01-02,percent_area_flooded,0.025604838,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Hirat,2025-01-02,percent_area_flooded,0.126229603,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Hirat,2025-01-02,percent_area_flooded,0.039081883,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Hirat,2025-01-02,percent_area_flooded,0.243414763,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Hirat,2025-01-02,percent_area_flooded,0.229409241,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Hirat,2025-01-02,percent_area_flooded,0.188753001,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Hirat,2025-01-02,percent_area_flooded,0.226439449,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Baghlan,2025-01-02,percent_area_flooded,0.099006245,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Baghlan,2025-01-02,percent_area_flooded,0.387043614,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Badakhshan,2025-01-02,percent_area_flooded,1.233990628,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Badakhshan,2025-01-02,percent_area_flooded,0.630575354,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Badakhshan,2025-01-02,percent_area_flooded,0.783008852,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Badakhshan,2025-01-02,percent_area_flooded,0.717141441,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Badakhshan,2025-01-02,percent_area_flooded,1.122308596,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Badakhshan,2025-01-02,percent_area_flooded,0.577227686,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Badakhshan,2025-01-02,percent_area_flooded,0.439055518,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Badakhshan,2025-01-02,percent_area_flooded,0.557108182,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Badakhshan,2025-01-02,percent_area_flooded,0.23585728,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Takhar,2025-01-02,percent_area_flooded,0.041519646,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Takhar,2025-01-02,percent_area_flooded,0.232007627,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Takhar,2025-01-02,percent_area_flooded,0.474478909,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Takhar,2025-01-02,percent_area_flooded,0.276748289,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Takhar,2025-01-02,percent_area_flooded,0.505143176,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Badakhshan,2025-01-02,percent_area_flooded,0.806020694,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Badakhshan,2025-01-02,percent_area_flooded,0.666768695,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Badakhshan,2025-01-02,percent_area_flooded,0.57366771,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Badakhshan,2025-01-02,percent_area_flooded,1.326959072,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Badakhshan,2025-01-02,percent_area_flooded,0.829276631,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Badakhshan,2025-01-02,percent_area_flooded,1.480539721,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Badakhshan,2025-01-02,percent_area_flooded,0.205348333,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Badakhshan,2025-01-02,percent_area_flooded,0.980153797,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Badakhshan,2025-01-02,percent_area_flooded,0.970940662,Unknown,2025,1,Jan,2025-01,2025-01
